Barrio,Hombres,Adolescencia1,Adulto2,Adulto_mayor3,Infancia4,Juventud5,Primera_Infancia6,Mujeres,Adolescencia2,Adulto2,Adulto_mayor2,Infancia2,Juventud2,Primera_Infancia2,Total
20 de Julio,39187,2679,15709,5701,2363,7185,5550,42246,2596,17303,7749,2280,7034,5284,81433
Aeropuerto El Dorado,608,179,172,30,10,192,25,292,18,129,40,8,70,27,900
Álamos,5684,392,2698,715,330,1062,487,6411,371,3074,1007,330,1115,514,12095
Alfonso López,27426,2106,10065,2965,2038,5293,4959,27239,1996,10353,3168,1991,5093,4638,54665
Américas,37465,2385,16856,6542,2192,6220,3270,40861,2190,18182,9167,2068,6070,3184,78326
Apogeo,17256,1090,7136,2947,1084,3077,1922,18721,1017,7903,4059,955,2923,1864,35977
Arborizadora,41649,2820,18449,4702,2807,7174,5697,43895,2592,19524,6465,2488,7464,5362,85544
Bavaria,19573,1115,9679,3008,1054,2904,1813,21883,1017,10651,4376,1016,3013,1810,41456
Bolivia,38325,2375,17799,6672,1966,6589,2924,45681,2365,21434,10540,1957,6516,2869,84006
Bosa Central,114561,8251,46381,14717,8171,21379,15662,123175,8098,50720,19749,7964,21440,15204,237736
Bosa Occidental,97653,7217,39868,9849,7117,19204,14398,102200,7138,42772,12016,6909,19700,13665,199853
Boyacá Real,61231,3856,27282,9928,3455,10939,5771,67220,3663,29565,14045,3433,10954,5560,128451
Britalia,46089,2671,21719,6756,2454,7452,5037,53354,2485,25013,10988,2260,8086,4522,99443
Calandaima,65137,5371,30312,5027,4892,12114,7421,70839,4930,33709,8405,4813,11894,7088,135976
Capellanía,8631,504,4066,1231,472,1540,818,9984,514,4595,1879,474,1642,880,18615
Carvajal,43378,2896,18377,7389,2664,7914,4138,45500,2681,19255,9546,2397,7543,4078,88878
Casa Blanca Suba,29588,1824,13578,4944,1806,4314,3122,34253,1943,15910,7178,1825,4411,2986,63841
Castilla,68238,4426,31861,9292,4081,11874,6704,73686,4107,34888,12790,3747,11771,6383,141924
Chapinero,13437,452,7337,1710,275,2864,799,13415,493,6582,2301,251,3038,750,26852
Chico Navarra,18472,560,9263,3702,605,2265,2077,20671,565,10052,5015,580,2563,1896,39143
Ciudad Jardín,12591,762,4977,2003,658,2207,1984,14786,839,6005,2643,722,2512,2065,27377
Ciudad Montes,49589,2941,21859,8788,2786,7951,5264,54252,2930,23669,12046,2509,8182,4916,103841
Ciudad Salitre Occidental,21916,1402,9522,4313,985,3924,1770,25100,1199,11621,5847,884,3759,1790,47016
Ciudad Salitre Oriental,10350,508,5095,1707,505,1292,1243,15379,664,8052,2599,763,1951,1350,25729
Ciudad Usme,14287,1257,5270,1403,1166,2611,2580,14756,1186,5992,1589,1061,2484,2444,29043
Comuneros,51181,3888,19441,6015,3877,9540,8420,51817,3685,20214,7310,3548,9052,8008,102998
Corabastos,28300,2178,11416,2644,2127,6130,3805,27772,2137,11312,2836,2024,5779,3684,56072
Country Club,11797,607,4568,3498,535,1466,1123,14618,605,6177,4570,650,1552,1064,26415
Danubio,29332,2105,11776,2359,2327,5541,5224,30451,2212,12452,3014,2276,5467,5030,59783
Diana Turbay,36518,2786,13764,4659,2815,6248,6246,39975,2782,15438,5986,2787,6785,6197,76493
Doce de Octubre,38921,1884,18247,5838,1985,6257,4710,38264,1842,16943,7928,1696,5564,4291,77185
El Mochuelo,15,3,6,2,0,2,2,15,2,8,1,1,1,2,30
El Porvenir,69416,5758,29105,5355,5615,13278,10305,75595,5815,33513,7827,5309,13203,9928,145011
El Prado,49637,2645,22166,10128,2378,7923,4397,58599,2587,26049,15174,2282,8357,4150,108236
El Refugio,19043,713,8517,4699,821,2019,2274,23059,771,11024,5823,879,2357,2205,42102
El Rincón,143597,9514,59638,18822,9385,27683,18555,155471,9693,65542,25707,9255,27749,17525,299068
El Tesoro,27807,2354,10311,2580,2289,5142,5131,27082,2055,10278,2958,2182,4861,4748,54889
Engativá,69564,4975,30157,7251,4764,14191,8226,73706,5090,32041,9062,4809,14315,8389,143270
Fontibón,65790,4037,27849,10514,3963,11935,7492,74437,4261,31502,14868,3766,12637,7403,140227
Fontibón San Pablo,17092,1095,6963,1973,1107,3497,2457,18279,1177,7356,2664,1078,3668,2336,35371
